PID,Core Count,Core Clock,Boost Clock,TDP,Series,Microarchitecture,Core Family,Socket,Maximum Supported Memory,ECC Support,Packaging,Includes CPU Cooler,L1 Cache,L2 Cache,L3 Cache,Lithography,Simultaneous Multithreading,Integrated Graphics
16918,6,3,4,65,4,5,7,3,128,N,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 9 MB,14,N,
16919,2,3,,55,6,14,19,8,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22,Y,12
16920,8,2,3,115,33,15,56,19,,N,0,N,"4 x 64 kB Instruction
8 x 16 kB Data",4 x 2 MB,2 x 8 MB,32,N,
16921,8,3,3,140,3,18,33,10,128,N,1,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 20 MB,14,Y,
16922,2,3,,65,10,20,30,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 4 MB,,65,N,
16923,8,3,3,140,25,16,28,10,64,N,1,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 20 MB,22,Y,
16924,4,3,4,71,28,7,11,3,64,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,28
16925,4,3,,95,3,22,34,14,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45,Y,
16926,4,2,,100,29,20,44,4,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",2 x 4 MB,,65,N,
16927,4,3,,125,23,19,42,12,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 6 MB,45,N,
16928,2,2,,35,6,14,19,8,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22,Y,14
16929,2,3,,55,17,14,19,8,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22,N,16
16930,2,2,,55,17,14,19,8,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22,N,16
16931,2,3,,54,6,11,16,6,,Y,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 4 MB,22,Y,10
16932,2,3,,51,17,8,12,3,64,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,14,Y,7
16933,6,3,4,140,3,10,32,7,128,N,0,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 1 MB,1 x 8.25 MB,14,Y,
16934,4,3,4,73,27,8,12,3,64,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,28
16935,4,3,,35,6,7,11,3,64,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,N,1
16936,2,3,,65,6,17,23,8,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,32,Y,17
16937,2,4,,51,6,8,12,3,64,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 4 MB,14,Y,7
16938,2,1,,65,10,20,30,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 2 MB,,65,N,
16939,2,2,,65,10,20,30,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 2 MB,,65,N,
16940,4,2,,95,22,24,39,4,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",2 x 6 MB,,45,N,
16941,4,3,,80,27,17,23,8,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,32,Y,
16942,6,3,4,80,28,7,11,3,64,Y,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 12 MB,14,Y,
16943,3,2,,95,36,19,60,12,,N,0,Y,"3 x 64 kB Instruction
3 x 64 kB Data",3 x 512 kB,1 x 6 MB,45,N,
16944,4,3,,125,23,19,42,12,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 6 MB,45,N,
16945,2,2,,65,18,19,29,12,,N,1,N,"2 x 64 kB Instruction
2 x 64 kB Data",2 x 1 MB,,45,N,
16946,4,3,,125,23,19,42,12,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 6.047 MB,45,N,
16947,2,2,,65,14,17,23,8,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 2 MB,32,N,16
16948,4,3,3,65,4,11,16,6,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22,N,10
16949,2,3,,54,6,11,16,6,,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22,Y,20
16950,8,2,3,115,16,17,25,11,,Y,1,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 20 MB,32,Y,
16951,4,3,3,65,24,23,36,15,,N,1,N,"2 x 96 kB Instruction
4 x 16 kB Data",2 x 2 MB,,28,N,
16952,4,3,,69,27,14,19,8,,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22,Y,
16953,2,3,,51,17,10,14,3,64,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,14,N,8
16954,4,3,4,80,27,10,52,3,64,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,
16955,12,2,2,105,16,16,26,10,768,Y,1,N,"12 x 32 kB Instruction
12 x 32 kB Data",12 x 256 kB,1 x 30 MB,22,Y,
16956,6,3,3,140,3,18,33,10,,N,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 15 MB,14,Y,
16957,2,3,,35,6,8,12,3,64,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,14,Y,7
16958,4,2,3,35,3,8,12,3,64,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,7
16959,8,3,4,140,3,10,32,7,128,N,1,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 1 MB,1 x 11 MB,14,Y,
16960,2,3,,54,11,7,11,3,64,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 4 MB,14,Y,1
16961,10,3,4,165,5,10,32,7,128,N,1,N,"10 x 32 kB Instruction
10 x 32 kB Data",10 x 1 MB,1 x 16.5 MB,14,Y,
16962,8,3,4,165,3,10,32,7,128,N,1,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 1 MB,1 x 16.5 MB,14,Y,
16963,4,3,4,71,28,5,7,3,128,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,28
16964,6,3,,125,13,15,21,9,,N,0,Y,"3 x 64 kB Instruction
6 x 16 kB Data",3 x 2 MB,1 x 8 MB,32,N,
16965,2,3,,65,10,9,13,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 6 MB,,45,N,
16966,4,3,,65,28,7,11,3,64,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,N,28
16967,2,2,,65,18,19,29,12,,N,1,N,"2 x 64 kB Instruction
2 x 64 kB Data",2 x 512 kB,,45,N,
16968,4,3,,95,21,19,37,12,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,,45,N,
16969,4,3,,125,23,19,42,12,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 6 MB,45,N,
16970,4,3,,140,23,19,42,12,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 6 MB,45,N,
16971,2,2,,65,17,9,13,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 2 MB,,45,N,
16972,2,2,,65,10,20,30,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 4 MB,,65,N,
16973,2,3,,73,4,26,47,14,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 4 MB,32,Y,16
16974,3,3,,95,35,19,58,12,,N,0,Y,"3 x 64 kB Instruction
3 x 64 kB Data",3 x 512 kB,,45,N,
16975,2,3,,65,18,19,29,12,,N,1,N,"2 x 64 kB Instruction
2 x 64 kB Data",2 x 1 MB,,45,N,
16976,4,3,,77,27,14,19,8,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22,N,36
16977,4,3,3,84,27,16,22,6,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22,Y,34
16978,4,4,,100,19,15,45,17,,N,1,N,"2 x 64 kB Instruction
4 x 16 kB Data",2 x 1 MB,,32,N,22
16979,6,2,,95,16,17,25,11,,Y,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 15 MB,32,Y,
16980,4,3,3,65,3,18,53,6,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14,Y,30
16981,4,2,3,35,4,10,14,3,64,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14,N,8
16982,4,2,3,35,4,8,12,3,64,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14,N,7
16983,10,3,4,140,5,10,32,7,128,N,0,N,"10 x 32 kB Instruction
10 x 32 kB Data",10 x 1 MB,1 x 13.75 MB,14,Y,
16984,8,3,4,140,3,10,32,7,128,N,0,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 1 MB,1 x 11 MB,14,Y,
16985,4,3,3,95,15,23,50,15,,N,0,Y,"2 x 96 kB Instruction
4 x 16 kB Data",2 x 2 MB,,28,N,13
16986,6,2,2,80,16,14,61,22,384,Y,0,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 15 MB,22,Y,
16987,12,2,4,140,5,10,32,7,128,N,1,N,"12 x 32 kB Instruction
12 x 32 kB Data",12 x 1 MB,1 x 16.5 MB,14,Y,
16988,4,3,3,65,4,14,19,8,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22,N,14
16989,4,4,4,91,6,5,7,3,64,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,N,7
16990,6,3,4,80,28,7,11,3,64,Y,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 12 MB,14,Y,28
16991,2,2,,65,14,17,23,8,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 2 MB,32,N,16
16992,2,2,,65,17,9,13,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 2 MB,,45,N,
16993,2,1,,35,14,17,23,8,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 1.5 MB,32,N,16
16994,4,3,,95,27,17,23,8,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,32,Y,16
16995,4,2,3,65,4,14,19,8,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22,N,14
16996,4,3,3,80,27,10,52,3,64,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,
16997,6,2,,125,26,19,46,12,,N,0,Y,"6 x 64 kB Instruction
6 x 64 kB Data",6 x 512 kB,1 x 6 MB,45,N,
16998,2,1,,25,18,19,29,12,,N,1,N,"2 x 64 kB Instruction
2 x 64 kB Data",2 x 1 MB,,45,N,
16999,4,3,,125,23,19,42,12,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 6 MB,45,N,
17000,2,2,,65,10,9,13,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 6 MB,,45,N,
17001,2,3,,65,18,19,29,12,,N,0,Y,"2 x 64 kB Instruction
2 x 64 kB Data",2 x 1 MB,,45,N,
17002,4,3,,95,23,19,62,12,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 6 MB,45,N,
17003,4,2,,100,12,27,51,18,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 1 MB,,32,N,35
17004,4,2,,100,21,27,51,18,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 1 MB,,32,N,
17005,8,4,4,220,13,15,21,9,,N,1,N,"4 x 64 kB Instruction
8 x 16 kB Data",4 x 2 MB,1 x 8 MB,32,N,
17006,4,3,,65,19,15,45,17,,N,1,N,"2 x 64 kB Instruction
4 x 16 kB Data",2 x 1 MB,,32,N,22
17007,6,3,3,140,3,16,28,10,64,N,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 15 MB,22,Y,
17008,4,1,,80,16,14,35,11,,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 10 MB,22,N,
17009,4,2,,65,4,16,22,6,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22,N,10
17010,4,3,3,65,4,18,53,6,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 4 MB,14,N,30
17011,4,2,3,45,27,10,52,3,64,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,
17012,6,1,,85,16,18,24,10,1536,Y,0,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 15 MB,14,N,
17013,4,2,3,35,4,8,12,3,64,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14,N,7
17014,2,3,,65,14,7,11,3,64,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 2 MB,14,N,9
17015,6,3,4,65,4,5,7,3,128,N,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 9 MB,14,N,
17016,6,3,4,80,28,7,11,3,64,Y,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 12 MB,14,Y,28
17017,4,3,,130,29,20,44,4,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",2 x 4 MB,,65,N,
17018,6,2,,95,16,17,25,11,,Y,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 15 MB,32,Y,
17019,2,2,,65,10,20,30,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 4 MB,,65,N,
17020,2,3,,65,10,9,13,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 6 MB,,45,N,
17021,2,3,,73,6,26,47,14,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 4 MB,32,Y,16
17022,2,3,,65,10,20,30,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 4 MB,,65,N,
17023,2,3,,65,10,9,13,4,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",1 x 6 MB,,45,N,
17024,4,2,,95,3,22,34,14,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45,Y,
17025,4,2,,130,3,22,40,16,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45,Y,
17026,3,3,,95,35,19,58,12,,N,0,Y,"3 x 64 kB Instruction
3 x 64 kB Data",3 x 512 kB,,45,N,
17027,2,3,,80,34,19,57,12,,N,1,N,"2 x 64 kB Instruction
2 x 64 kB Data",2 x 512 kB,1 x 6 MB,45,N,
17028,2,3,,65,17,9,13,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 2 MB,,45,N,
17029,3,3,,95,35,19,58,12,,N,0,Y,"3 x 64 kB Instruction
3 x 64 kB Data",3 x 512 kB,,45,N,
17030,6,3,,125,26,19,46,12,,N,1,N,"6 x 64 kB Instruction
6 x 64 kB Data",6 x 512 kB,1 x 6 MB,45,N,
17031,4,3,,95,27,17,23,8,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,32,N,16
17032,4,3,,80,27,17,23,8,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,32,Y,
17033,4,3,,77,27,14,19,8,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,4 x 8 MB,22,Y,36
17034,2,2,,55,14,14,19,8,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 2 MB,22,N,16
17035,2,2,,53,14,16,22,6,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",23 x 256 kB,1 x 2 MB,22,N,16
17036,4,1,,25,9,21,31,13,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",1 x 2 MB,,28,N,23
17037,4,3,3,65,19,23,36,15,,N,1,N,"2 x 96 kB Instruction
4 x 16 kB Data",2 x 2 MB,,28,N,13
17038,4,4,,125,13,15,21,9,,N,1,N,"2 x 64 kB Instruction
4 x 16 kB Data",2 x 2 MB,1 x 8 MB,32,N,
17039,4,3,,100,21,27,51,18,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 1 MB,,32,N,
17040,4,3,4,84,27,11,16,6,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22,Y,34
17041,6,2,,60,16,14,35,11,,Y,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 15 MB,22,Y,
17042,2,3,,51,14,8,12,3,64,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 2 MB,14,N,19
17043,2,2,,35,14,8,12,3,64,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 2 MB,14,N,19
17044,4,3,4,62,6,5,7,3,64,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,N,
17045,6,3,4,80,28,5,7,3,128,Y,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 12 MB,14,Y,28
17046,2,3,,53,17,11,16,6,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22,N,16
17047,4,3,4,71,28,7,11,3,64,Y,0,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,28
17048,8,2,3,95,16,17,25,11,,Y,0,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 20 MB,32,Y,
17049,2,2,,45,18,19,29,12,,N,0,Y,"2 x 64 kB Instruction
2 x 64 kB Data",2 x 1 MB,,45,N,
17050,4,3,,100,21,27,51,18,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 1 MB,,32,N,
17051,4,3,4,72,27,8,12,3,64,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,
17052,4,3,4,72,27,8,12,3,64,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,
17053,6,3,3,135,16,18,24,10,1536,Y,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 236 kB,1 x 20 MB,14,Y,
17054,4,3,4,71,28,7,11,3,64,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,N,28
17055,2,3,,80,34,19,57,12,,N,0,Y,"2 x 64 kB Instruction
2 x 64 kB Data",2 x 512 kB,1 x 6 MB,45,N,
17056,2,2,,45,18,19,29,12,,N,0,Y,"2 x 64 kB Instruction
2 x 64 kB Data",2 x 1 MB,,45,N,
17057,4,2,,65,23,19,42,12,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 6 MB,45,N,
17058,2,2,,65,17,9,13,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 2 MB,,45,N,
17059,2,2,,65,10,9,13,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 3 MB,,45,N,
17060,2,3,,65,10,9,13,4,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",1 x 6 MB,,45,N,
17061,4,2,,95,4,22,34,14,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45,N,
17062,4,2,,82,4,22,34,14,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45,N,
17063,2,2,,35,17,17,23,8,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,32,N,16
17064,8,2,,95,13,25,43,9,,N,1,N,"8 x 16 kB Instruction
4 x 64 kB Data",8 x 1 MB,1 x 8 MB,32,N,
17065,8,3,,125,13,25,43,9,,N,0,N,"8 x 16 kB Instruction
4 x 64 kB Data",8 x 1 MB,1 x 8 MB,32,N,
17066,2,4,4,65,12,15,45,17,,N,0,Y,"1 x 64 kB Instruction
2 x 16 kB Data",1 x 1 MB,,32,N,40
17067,2,3,,54,6,11,16,6,,Y,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 4 MB,22,Y,10
17068,1,2,,35,14,17,23,8,,N,0,Y,"1 x 32 kB Instruction
1 x 32 kB Data",1 x 256 kB,1 x 1.5 MB,32,Y,16
17069,2,2,,65,37,27,51,18,,N,0,Y,"2 x 64 kB Instruction
2 x 64 kB Data",2 x 512 kB,,32,N,41
17070,4,3,3,84,27,11,16,6,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22,N,34
17071,8,3,4,95,13,15,21,9,,Y,1,N,"4 x 64 kB Instruction
8 x 16 kB Data",4 x 2 MB,1 x 8 MB,32,N,
17072,8,4,4,125,13,15,21,9,,N,1,N,"4 x 64 kB Instruction
8 x 16 kB Data",4 x 2 MB,1 x 8 MB,32,N,
17073,4,3,3,65,15,23,36,15,,N,1,N,"2 x 96 kB Instruction
4 x 16 kB Data",2 x 2 MB,,28,N,13
17074,6,1,,85,16,16,26,10,,Y,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 15 MB,22,N,
17075,8,2,3,85,16,16,26,10,,Y,1,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 20 MB,22,Y,
17076,12,2,3,120,16,16,26,10,,Y,1,N,"12 x 32 kB Instruction
12 x 32 kB Data",12 x 256 kB,1 x 30 MB,22,Y,
17077,2,3,,51,6,10,14,3,64,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 4 MB,14,Y,8
17078,4,2,3,35,3,10,14,3,64,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,8
17079,4,3,3,80,27,10,52,3,64,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,
17080,8,1,,85,16,18,24,10,1536,Y,0,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 20 MB,14,N,
17081,14,2,3,120,16,16,26,10,,Y,0,N,"14 x 32 kB Instruction
14 x 32 kB Data",14 x 256 kB,1 x 35 MB,22,Y,
17082,4,3,4,95,24,23,36,15,,N,0,Y,"2 x 96 kB Instruction
4 x 16 kB Data",2 x 2 MB,,28,N,
17083,2,2,,35,17,8,12,3,64,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,14,Y,19
17084,10,2,3,95,16,14,61,22,384,Y,0,N,"10 x 32 kB Instruction
10 x 32 kB Data",10 x 256 kB,1 x 25 MB,22,Y,
17085,2,2,,65,10,20,30,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 4 MB,,65,N,
17086,2,3,,65,10,9,13,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 3 MB,,45,N,
17087,8,2,3,95,16,17,25,11,,Y,1,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 20 MB,32,Y,
17088,3,3,,95,35,19,58,12,,N,0,Y,"3 x 64 kB Instruction
3 x 64 kB Data",3 x 512 kB,,45,N,
17089,4,2,,95,23,19,42,12,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 6 MB,45,N,
17090,2,1,,25,18,19,29,12,,N,1,N,"2 x 64 kB Instruction
2 x 64 kB Data",2 x 1 MB,,45,N,
17091,3,2,,95,36,19,60,12,,N,0,Y,"3 x 64 kB Instruction
3 x 64 kB Data",3 x 512 kB,1 x 6 MB,45,N,
17092,2,1,,65,10,20,30,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 4 MB,,65,N,
17093,2,2,,65,10,20,30,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 2 MB,,65,N,
17094,2,2,,65,10,20,30,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 4 MB,,65,N,
17095,2,2,,65,10,20,30,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 4 MB,,65,N,
17096,2,2,,65,10,9,13,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 6 MB,,45,N,
17097,4,2,,130,3,22,40,16,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45,Y,
17098,4,2,,95,22,24,39,4,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",2 x 2 MB,,45,N,
17099,4,2,,95,22,24,39,4,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",2 x 3 MB,,45,N,
17100,2,3,,80,34,19,57,12,,N,0,Y,"2 x 64 kB Instruction
2 x 64 kB Data",2 x 512 kB,1 x 6 MB,45,N,
17101,2,3,,65,17,9,13,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 2 MB,,45,N,
17102,4,3,,125,23,19,42,12,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 6 MB,45,N,
17103,3,2,,95,36,19,60,12,,N,1,N,"3 x 64 kB Instruction
3 x 64 kB Data",3 x 512 kB,1 x 6 MB,45,N,
17104,6,2,,95,26,19,46,12,,N,1,N,"6 x 64 kB Instruction
6 x 64 kB Data",6 x 512 kB,1 x 6 MB,45,N,
17105,2,2,,65,17,17,23,8,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 2 MB,32,N,16
17106,8,3,,95,13,15,21,9,,N,1,N,"4 x 64 kB Instruction
8 x 16 kB Data",4 x 2 MB,1 x 8 MB,32,N,
17107,2,3,,54,17,16,22,6,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22,N,16
