PID,Merchant,Availability,Total
24061,0,0,89.99
24061,7,0,89.99
24061,4,0,95.98
24062,6,0,329.99
24062,4,1,329.99
24063,4,0,194.98
24063,1,3,199.99
24063,7,0,199.99
24063,0,0,207.64
24064,0,0,169.99
24064,9,0,169.99
24064,1,0,169.99
24065,4,0,36.98
24066,0,1,79.98
24066,7,0,89
24066,4,0,89.98
24066,1,0,99.99
24067,0,1,159.99
24067,7,0,169.99
24067,4,0,174.98
24067,1,3,184.99
24068,0,0,112.5
24068,2,0,118.99
24068,1,0,119.99
24068,5,0,119.99
24068,4,0,125.98
24069,1,0,105.58
24069,4,0,119.99
24069,0,0,123.4
24069,7,0,123.4
24070,0,0,69.98
24070,4,0,72.98
24071,0,0,57.99
24071,1,0,64.99
24071,4,0,67.98
24072,0,0,64.98
24072,3,1,64.99
24072,4,0,69.99
24073,0,0,46.42
24073,6,1,54.99
24073,7,0,59.99
24074,0,0,99.99
24074,9,0,99.99
24074,1,0,99.99
24074,7,0,99.99
24074,4,0,107.98
24076,4,0,43.98
24076,0,0,68.34
24077,0,0,106.99
24077,1,0,106.99
24077,2,0,109.99
24077,3,1,115.54
24077,4,0,117.98
24077,5,0,144.99
24078,0,0,89.99
24078,4,0,116.99
24079,0,0,259.99
24079,7,0,259.99
24079,6,0,264.99
24079,4,0,264.99
24080,1,0,60.99
24080,4,0,61.98
24080,0,0,67.53
24081,6,0,329.99
24081,4,0,329.99
24082,0,0,127.66
24082,4,0,149.99
24083,0,0,79.98
24083,4,0,87.98
24083,1,0,99.99
24084,4,0,54.99
24084,0,0,79.98
24085,7,0,120.71
24085,4,0,122.98
24085,0,0,141.88
24086,4,0,79.99
24086,0,0,88.2
24087,4,0,43.97
24088,0,0,159.99
24088,4,0,159.99
24089,0,0,59.99
24090,6,0,109.99
24090,1,0,129.99
24090,0,0,159.99
24091,2,0,149.99
24091,0,0,151.88
24091,4,0,157.98
24091,3,1,167.29
24091,5,1,204.99
24092,0,0,49.99
24092,4,0,49.99
24092,3,,59.99
24092,1,0,59.99
24093,0,0,138.97
24094,0,0,42.99
24094,4,0,61.98
24094,1,0,73.23
24095,4,0,39.99
24096,4,0,41.99
24096,0,0,56.99
24097,0,0,199.99
24097,2,0,199.99
24097,3,1,249.99
24097,10,0,249.99
24097,4,0,257.98
24098,0,0,64.04
24099,0,0,159.99
24100,0,0,51.99
24100,8,0,52.99
24101,1,0,105.58
24101,4,0,119.99
24101,0,0,123.4
24101,7,0,123.4
24101,3,,151.08
24103,7,0,121.23
24103,4,0,122.98
24103,0,0,131.56
24104,0,0,69.98
24105,4,0,58.98
24105,0,0,78.97
24105,3,1,105.79
24106,4,0,69.99
24106,0,0,73.73
24107,1,0,49.98
24107,4,0,54.98
24107,0,0,57.49
24108,7,0,109.99
24108,4,0,119.98
24108,0,0,133.19
24110,4,0,47.98
24111,0,0,109.99
24111,4,0,121.98
24111,7,0,124.99
24111,1,3,157.04
24113,0,0,66.98
24113,4,0,71.98
24114,4,0,65.99
24114,1,0,69.99
24114,0,0,72.84
24115,0,0,79.98
24115,4,0,79.99
24116,1,1,169.99
24116,0,0,398
24117,0,0,299.89
24118,4,0,84.99
24118,0,0,118.31
24119,8,0,79.99
24119,0,0,84.93
24120,0,0,91.44
24121,0,1,64.98
24121,4,0,64.99
24122,4,1,119.99
24122,3,,137.19
24122,0,0,194.95
24123,4,0,89.99
24123,0,0,99.99
24124,0,0,126.99
24124,4,0,134.99
24124,3,,148.48
24125,3,,109.99
24125,1,0,119.99
24125,0,0,119.99
24126,6,0,179.99
24126,0,0,240.26
24127,4,0,201.98
24128,0,0,269
24128,1,0,269
24129,7,0,89.13
24129,4,0,93.78
24129,0,0,93.94
24131,3,1,84.99
24131,0,0,89.99
24131,4,0,89.99
24132,7,0,209.99
24132,1,0,215.99
24132,4,0,216.98
24132,0,0,230.46
24134,6,0,64.99
24134,0,0,97.55
24135,4,0,54.99
24135,0,0,59.99
24136,7,0,148.93
24136,4,0,149.99
24136,6,0,154.99
24136,0,0,159.38
24137,4,0,79.99
24137,6,0,114.99
24137,0,0,126.59
24138,4,0,154.98
24138,7,0,154.99
24138,0,0,166.96
24139,0,0,55.95
24139,4,0,56.98
24140,0,0,179.99
24140,1,0,179.99
24140,2,0,179.99
24140,4,0,179.99
24140,3,1,196.29
24141,6,1,159.99
24142,0,0,119.99
24142,2,0,119.99
24142,4,0,119.99
24142,5,0,119.99
24143,0,0,239.97
24144,0,0,750.1
24145,0,0,169.99
24145,4,0,169.99
24146,6,0,79.99
24146,7,0,120.89
24146,0,0,239.49
24147,8,0,77.59
24147,0,0,96.8
24148,4,0,201.98
24148,0,0,402
24149,0,0,61.39
24149,4,0,64.99
24150,0,0,89.99
24150,4,0,89.99
24151,0,0,449.99
24151,4,0,449.99
24152,0,0,79.98
24152,2,0,79.99
24152,6,0,79.99
24152,4,0,89.99
24153,4,0,47.97
24153,0,0,53.14
24154,0,0,221.19
24154,3,1,259.99
24154,4,0,259.99
24155,0,0,159.99
24156,8,0,174.9
24156,0,1,179.99
24156,1,0,189.9
24157,4,0,49.98
24157,1,0,60.24
24157,0,0,64.65
24159,4,0,115.98
24159,0,0,144.99
24160,4,0,35.95
24161,0,0,163.22
24161,4,0,171.67
24161,7,0,172.99
24161,6,0,174.99
24163,4,0,89.99
24163,0,0,90.55
24164,4,0,69.99
24166,0,0,397.99
24167,0,0,59.9
24168,4,0,199.99
24168,0,0,214.99
24169,4,0,70.98
24169,0,0,92.99
24170,0,0,100.99
24171,1,0,49.99
24171,4,0,56.98
24171,0,0,57.3
24172,6,0,174.99
24172,4,0,174.99
24172,7,0,179.99
24172,0,0,180.29
24173,4,0,110.98
24173,1,3,119.99
24173,0,0,120.17
24174,0,0,76.34
24174,7,0,115.04
24175,0,0,317.54
24175,1,0,317.54
24176,0,0,72.98
24177,0,0,109.99
24177,4,0,119.99
24178,4,0,143.98
24178,0,0,155.78
24179,0,1,59.99
24179,4,0,67.98
24180,6,0,259.99
24180,4,0,259.99
24181,0,0,69.98
24182,0,0,65.98
24183,0,0,219.99
24183,4,1,225.98
24183,8,0,229.99
24183,1,0,234.18
24184,0,0,64.7
24185,2,1,79.99
24185,6,0,79.99
24185,7,0,119.79
24185,0,0,119.79
24186,8,0,94.9
24186,0,0,247.99
24187,0,0,99.99
24188,0,0,169.99
24188,4,0,169.99
24189,4,0,79.99
24190,0,0,149.99
24190,2,0,149.99
24190,4,0,159.98
24190,3,1,166.29
24190,5,0,204.99
24191,6,0,64.99
24191,3,1,69.99
24191,7,0,69.99
24191,0,0,116.08
24192,0,0,159.99
24192,1,0,159.99
24193,4,0,79.99
24194,8,0,499.99
24194,0,0,499.99
24195,0,0,89.99
24195,4,0,97.98
24196,4,0,61.98
24196,1,0,64.99
24196,0,0,66.05
24197,0,0,89.99
24197,1,0,89.99
24197,4,0,116.99
24198,0,0,83.99
24199,8,0,79.9
24199,1,0,84.9
24199,0,0,98.16
24200,0,0,411
24201,0,0,149.99
24201,4,0,149.99
24202,4,0,49.58
24202,0,0,57.1
24203,0,0,85
24204,0,0,109.99
24204,2,0,109.99
24204,4,0,115.98
24204,5,0,144.99
24205,6,1,139.99
24205,7,0,149.99
24205,0,0,339
24207,4,1,98.98
24207,0,0,117.13
24207,7,0,117.81
24208,0,0,229.99
24208,2,0,229.99
24208,4,0,238.99
24209,0,0,73.64
24210,0,0,244
24211,4,0,119.98
24212,0,0,499.99
24213,4,0,124.99
24213,0,0,144.99
24213,6,0,144.99
24214,0,0,680
24215,6,1,159.99
24215,0,0,369
24216,4,0,225.98
24216,1,3,229.99
24216,0,0,240.36
24217,0,0,64.98
24218,6,0,64.99
24218,7,0,69.99
24218,0,0,238
24219,1,0,219.99
24219,0,0,219.99
24219,4,0,232.98
24221,0,0,64.98
24221,4,0,81.98
24222,6,1,179.99
24222,0,0,416
24224,4,0,119.99
24225,4,0,54.87
24227,0,0,199
24229,0,0,625
24230,8,0,79.9
24230,0,0,222.99
24231,6,0,149.99
24231,0,0,226.25
24232,0,0,129.99
24234,0,0,69.98
24234,4,0,69.99
24236,4,0,54.99
24237,6,1,189.99
24237,0,0,445
24238,0,0,77.98
24238,1,0,77.99
24238,2,0,79.99
24238,5,0,79.99
24238,4,0,85.98
24238,3,1,94.24
24239,1,0,54.99
24239,4,0,63.98
24240,0,0,54.99
24240,4,0,69.99
24241,4,0,89.99
24241,0,0,99.99
24244,0,0,222
24246,0,0,229.99
24246,1,0,253.56
24246,9,0,279.99
24246,7,0,279.99
24247,4,0,74.98
24247,0,0,85.4
24249,0,0,101.34
24250,1,0,147.46
24250,0,0,148.74
24250,4,0,153.98
24251,1,0,84.99
24251,4,0,84.99
24251,7,0,84.99
24251,0,0,138.68
24252,0,0,269
24252,1,0,269
24252,8,0,269.9
24253,4,0,202.98
24255,4,0,44.99
24255,0,0,64.98
24256,0,0,192.6
24257,4,0,199.98
24258,4,0,194.99
24258,0,0,209.99
24259,0,0,213.99
24259,3,1,229.99
24259,10,0,229.99
24259,4,0,238.98
24260,0,0,114.09
24260,7,0,114.09
24260,1,0,114.99
24260,4,0,116.99
24261,4,0,298.99
24261,0,0,299.99
24261,1,3,331.64
24262,4,0,122.98
24262,0,0,133.72
24263,0,0,74.98
24264,4,1,104.99
24264,6,0,109.99
24264,7,0,119.99
24264,0,0,124.84
24265,0,0,54.99
24266,0,0,106.99
24267,0,0,549.99
24267,4,0,549.99
24268,0,0,66.06
24269,0,0,49.99
24269,8,0,49.99
24270,4,0,84.99
24270,0,0,97.89
24271,6,0,69.99
24271,7,0,79.99
24271,0,0,106.91
24272,3,1,103.34
24272,0,0,120.16
24273,0,0,59.99
24273,4,0,59.99
24274,4,0,112.98
24274,0,0,135.31
24275,0,0,129.99
24275,8,0,129.99
24276,0,0,79
24277,0,0,319.89
24281,4,0,69.99
24281,0,0,80.54
24282,3,1,199.99
24283,4,0,152.98
24283,0,0,165.08
24283,1,1,182.13
24284,0,0,122.84
24285,3,1,119.99
24285,4,1,125.58
24286,8,0,254.9
24286,0,0,269
24286,1,0,269
24287,2,0,249.99
24287,4,0,259.98
24287,0,0,365
24288,0,0,59.99
24288,4,0,65.98
24289,6,0,54.99
24289,0,0,150.99
24291,7,0,219
24291,4,1,224.98
24291,1,3,234.99
24291,0,0,250.23
24292,0,0,348
24293,0,0,106.99
24293,4,0,109.99
24294,4,0,135.98
24294,0,1,203.72
24295,0,0,50.79
24296,4,0,44.99
24296,0,0,54.33
24296,1,0,62.99
24297,4,0,78.98
24297,0,0,90.39
24298,0,0,109.99
24298,4,0,109.99
24299,8,0,68.9
24299,0,1,79.9
24299,1,0,79.9
24300,6,0,69.99
24300,0,0,237.5
24301,4,0,51.99
24302,0,0,626
24303,0,0,71.14
24305,0,0,69.98
24306,0,0,197
24307,0,0,99.94
24307,2,0,99.99
24307,4,0,99.99
24307,3,,125.19
24308,0,0,392
24309,0,0,56.99
24309,4,0,68.9
24310,4,1,179.98
24310,1,3,184.99
24310,0,0,205.71
24311,4,0,99.99
24311,1,0,103.39
24311,0,0,119.99
24311,7,0,129.99
24312,4,0,299.99
24312,0,0,356.26
24313,4,0,53.98
24313,0,0,59.99
24315,0,0,127.69
24315,6,0,149.99
24316,6,1,189.99
24316,0,0,449
24317,4,0,79.99
24317,6,0,114.99
24317,0,0,116.18
24318,4,0,62.98
24318,1,0,64.99
24318,0,0,66.48
24319,0,0,223
24320,4,0,46.98
24320,0,0,68.34
24322,4,0,66.98
24322,0,0,72.41
24323,4,0,44.98
24324,0,0,79.98
24325,0,0,79.98
24326,8,0,84.9
24326,1,0,89.9
24326,0,0,103.12
24327,4,0,209.99
24327,0,0,219.98
24328,0,0,503.44
24329,4,1,151.98
24329,0,0,253.29
24330,4,0,159.99
24330,0,0,169.99
24333,0,0,249.99
24334,0,0,59.99
24335,0,0,59.99
24336,7,0,54.99
24336,0,0,207
24337,4,0,201.98
24338,0,0,64.98
24339,0,0,197.5
24344,0,0,169.99
24344,7,0,179.99
24344,4,0,183.98
24344,1,3,184.99
24345,4,0,95.99
24345,0,0,104.74
24346,0,0,229.99
24346,2,0,229.99
24346,4,1,229.99
24346,8,0,229.99
24346,1,0,232.9
24346,3,,261.84
24349,0,0,66.98
24351,4,0,199.99
24352,0,0,108.99
24352,4,0,122.98
24354,4,0,195.98
24354,1,3,199.99
24354,7,0,199.99
24354,0,0,207.48
24355,4,0,46.99
24355,0,0,58.08
24357,4,0,60.98
24357,0,0,69.98
24358,0,0,199
24360,4,1,109.99
24360,0,0,142.99
24361,0,0,158.44
24364,0,0,66.06
24365,1,0,149
24366,4,0,48.99
24367,0,1,69.98
24369,0,0,84.41
24370,0,0,117.71
24374,0,0,196.95
24374,4,1,206.98
24374,1,3,234.99
24378,0,0,89.9
24379,6,1,79.99
24379,0,0,99.72
24380,8,0,54.99
24380,0,0,54.99
24382,1,0,320.99
24382,4,0,320.99
24383,2,0,299.99
24383,4,1,309.98
24383,0,0,314.81
24384,0,0,83.99
24385,4,0,62.99
24386,0,0,175.99
24386,1,3,175.99
24386,4,0,185.98
24387,4,0,124.99
24387,0,0,144.99
24387,6,0,144.99
24390,0,0,69.98
24390,2,0,69.99
24390,4,0,129.99
24393,4,0,367.98
24394,4,0,51.99
24395,4,0,119.98
24395,7,0,124.26
24395,0,0,130.15
24396,4,0,53.91
24398,8,0,94.9
24398,0,0,122.53
24399,6,1,59.99
24399,0,0,209
24400,4,0,242.98
24402,4,0,135.98
24402,0,0,365
24405,0,0,83.99
24406,4,0,201.98
24407,1,0,64.99
24407,4,0,64.99
24410,0,0,647
24411,0,0,182.49
24412,4,0,74.99
24414,4,0,62.99
24414,0,0,76.34
24415,4,0,119.98
24415,7,0,121.13
24415,0,0,129.96
24418,4,0,119.99
24419,0,0,157.55
24420,0,0,145.87
24420,4,0,159.99
24423,4,0,279.99
24423,0,0,279.99
24423,1,3,299.99
24424,6,0,159.99
24424,4,0,159.99
24424,0,0,170.64
24425,0,1,57.99
24425,4,0,57.99
24425,1,0,60.99
24426,0,1,159.99
24426,4,0,195.99
24428,0,0,203
24429,0,0,249.99
24430,0,0,57.99
24431,0,0,139.99
24434,6,1,149.99
24434,0,1,289.17
24437,0,0,169.99
24437,4,0,181.98
24437,1,3,194.99
24438,4,0,57.99
24438,7,0,68.81
24438,0,0,69.06
24439,6,1,199.99
24439,0,0,419
24440,0,0,128.15
24444,4,0,246.98
24445,0,0,69.98
24446,4,0,73.98
24446,0,0,86.06
24447,4,0,49.99
24450,4,0,73.98
24450,0,0,76.09
24451,6,0,189.99
24451,7,0,199.99
24451,0,0,217.61
24452,6,0,89.99
24452,7,0,99.99
24454,0,0,179.99
24454,4,0,179.99
24454,3,1,183.47
24454,1,3,204.37
24455,4,0,64.98
24457,4,0,119.98
24457,1,0,119.99
24457,7,0,124.25
24457,0,0,130.94
24458,0,0,55.99
24460,0,0,54.99
24461,0,0,113.99
24461,1,0,113.99
24461,2,0,118.99
24461,5,0,119.99
24461,3,1,125.24
24461,4,0,125.98
24464,0,0,69.98
24464,7,0,69.99
24465,0,0,69.98
24467,0,0,198.26
24467,4,0,209.99
24468,3,,69.99
24468,0,0,101.85
24469,0,0,52.99
24470,4,0,99.99
24471,0,0,274
24473,4,0,214
24473,1,1,219.99
24473,0,0,227.99
24475,0,0,274.39
24476,4,0,434.43
24476,1,1,439.99
24476,0,0,913
24477,4,0,209.99
24477,0,0,218.33
24478,0,0,86.35
24479,4,1,108.99
24482,0,0,257
24483,0,0,119.99
24484,4,0,74.98
24484,0,0,79.17
24485,0,1,199.9
24485,1,3,199.9
24485,8,0,199.9
24486,0,0,299.99
24486,2,0,299.99
24486,4,1,309.98
24487,6,0,74.99
24487,0,0,240
24488,0,0,57.99
24489,0,0,100.87
24489,4,0,100.98
24492,0,0,84.36
24493,0,0,119
24493,6,1,119.99
24493,7,0,197.05
24494,6,1,179.99
24494,0,0,346.78
24495,6,1,299.99
24496,0,0,62.49
24497,4,0,59.99
24499,6,1,59.99
24500,0,0,134.99
24502,4,0,135.98
24502,0,0,365
24503,0,0,199
24505,8,0,68.9
24505,0,0,99.91
24506,0,0,63.56
24507,4,0,56.99
24507,7,0,68.81
24507,0,0,69.33
24508,4,1,75.99
24508,7,0,97.14
24508,0,0,99.98
24511,0,0,456
24512,6,1,189.99
24512,0,0,411
24513,8,0,84.9
24513,1,0,89.9
24513,0,0,103.12
24514,6,0,249.99
24515,3,1,61.29
24515,0,0,112.61
24516,6,1,149.99
24517,0,0,66.95
24518,4,0,125.99
24518,0,0,168.99
24520,4,1,89.98
24520,0,0,101.63
24521,4,0,135.98
24521,0,1,202.14
24522,4,0,229.99
24522,0,0,269.08
24525,6,0,179.99
24525,0,0,199.02
24525,4,1,199.99
24525,7,0,212.02
24527,0,0,195.99
24527,4,0,195.99
24531,0,0,119.99
24533,4,0,109.99
24533,0,0,132.21
24533,7,0,132.21
24533,1,3,138.65
24534,0,0,69.98
24534,2,0,79.99
24534,4,0,89.98
24536,0,0,401
24538,0,0,78.98
24538,4,0,91.56
24539,0,0,493.99
24541,0,0,159.99
24543,0,1,108.1
24544,6,1,159.99
24545,4,0,181.98
24545,0,0,192.06
24546,0,0,74.98
24548,0,0,119.49
24549,0,0,233.17
24550,3,1,89.99
24550,0,0,205.99
24553,4,0,53.99
24554,0,0,96.69
24556,6,1,99.99
24558,0,0,129.09
24558,6,1,149.99
24558,4,0,149.99
24558,7,0,149.99
24559,6,1,99.99
24560,0,0,71.98
24561,0,0,225.03
24563,4,0,86.98
24563,7,0,115.04
24564,0,0,236
24565,0,0,383.14
24566,0,3,215.1
24568,4,0,109.98
24568,0,0,124.6
24569,4,1,95.98
24569,0,0,99.99
24570,0,0,199.99
24571,0,0,200
24572,0,0,333.29
24573,4,0,257.98
24576,0,0,277
24577,0,1,149
24577,1,0,149
24577,4,0,151.99
24578,4,0,66.98
24578,0,0,68.73
24579,0,0,149.99
24580,3,,139.99
24580,0,0,149.99
24585,0,0,79.59
24587,0,0,318
24588,0,0,169.99
24588,4,0,169.99
24589,0,0,363.99
24589,4,0,363.99
24592,1,0,199.9
24592,8,0,199.9
24592,0,0,331.34
24593,0,0,263
24594,0,1,206.71
24595,0,0,78.22
24596,0,0,75.67
24597,4,0,68.99
24597,0,0,97.26
24599,0,0,49.99
24600,0,0,77.67
24601,0,0,239.99
24602,4,0,140.98
24602,0,0,379
24603,6,1,64.99
24603,0,0,127.66
24607,0,0,89.6
24607,4,0,100.98
24608,1,0,159.99
24608,8,0,171.27
24608,0,0,181.93
24609,0,0,129.55
24610,0,0,399.99
24612,0,0,110.7
24615,8,0,79.9
24615,1,0,89.99
24615,0,0,109.65
24616,3,1,129.99
24616,0,0,144.99
24616,4,0,144.99
24617,6,1,249.99
24619,0,0,118.88
24620,4,0,235.98
24620,0,0,288.27
24621,0,0,81.99
24622,6,1,129.99
24622,0,1,173.72
24625,0,0,67.98
24626,0,0,74.98
24628,0,0,77.98
24628,4,0,79.99
24628,3,,99.94
24629,4,0,235.98
24630,8,0,129.9
24630,0,0,160.46
24631,7,0,119.93
24631,0,0,122.99
24631,4,0,122.99
24632,4,0,360.98
24637,1,3,179.99
24637,4,0,181.98
24637,0,0,198.5
24638,4,0,79.87
24639,7,0,169
24639,4,0,169.98
24639,0,0,191.26
24641,4,0,69.99
24641,0,0,101.79
24642,1,0,199.99
24647,4,0,51
24648,0,0,58.04
24651,6,0,179.99
24651,0,0,200.5
24652,4,0,129.99
24653,6,1,104.99
24653,0,0,399.99
24655,0,0,76.95
24656,4,0,89.99
24656,0,0,115.42
24657,4,0,89.99
24657,0,0,137.21
24658,8,0,89.99
24659,4,0,432.43
24659,1,1,439.99
24659,0,0,914
24660,0,1,128.22
24662,0,0,89.9
24663,4,0,129.99
24665,4,0,51.99
24666,4,0,203.99
24666,0,0,219.99
24667,0,0,118.08
24669,0,0,69.98
24670,0,0,287
24671,0,0,247.42
24672,6,1,369.99
24673,3,,79.99
24673,0,0,89.99
24675,6,1,89.99
24676,0,0,84.76
24677,0,0,461
24678,4,1,170.89
24678,0,0,195.41
24678,1,3,197.44
24679,0,0,69.47
24682,0,0,69.98
24682,3,,86.19
24684,4,0,78
24684,0,0,83.52
24685,0,0,173
24687,0,0,84.99
24687,4,0,101.98
24688,0,0,139.9
24688,1,0,139.9
24688,8,0,139.9
24689,0,0,75.14
24691,0,0,108.21
24692,6,1,109.99
24696,4,0,69.99
24697,0,0,298
24698,1,0,139.9
24698,8,0,139.9
24698,0,0,233.83
24701,6,1,99.99
24703,0,0,89.9
24704,0,0,129.31
24705,8,0,69.99
24706,0,0,82.99
24708,0,0,249.99
24710,0,0,69.83
24710,8,0,84.99
24711,0,0,69.17
24711,8,0,69.99
24712,6,1,54.99
24712,0,0,131.07
24713,6,1,89.99
24716,0,0,54.99
24716,4,0,59.98
24717,0,0,199.99
24717,4,0,202.98
24718,0,0,190.87
